id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1
question 0,What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,To supply data or analytics from the MFAF to notification endpoints,To fetch data or analytics from the MFAF based on fetch instructions,,option 2: To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,The Nmfaf_3daDataManagement_Deconfigure service operation is used to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.,Standards specifications,0,2,"4.2.2.3.1	General

The Nmfaf_3daDataManagement_Deconfigure service operation is used by an NF service consumer to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints."
question 4,How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],It requests the core network node to remember its previous selection.,It uses information stored in the UE when it was detached.,It relies on the SIM/USIM card for information.,It performs a fresh attach procedure.,,option 2: It uses information stored in the UE when it was detached.,A supporting UE in a shared network attaches to the same core network operator it detached from by using information stored in the UE when it was detached.,Standards specifications,4,2,"1)	The UE is initially attached to the 3GPP Access network.

2)	The UE moves and attaches to an untrusted non-3GPP IP access network.

3)	Access authentication procedure between UE and the 3GPP EPC may be performed as defined by TS 33.402 [45]."
question 11,When can the setting of the Privacy exception list be changed? [3GPP Release 17],Never,Only during emergency services,Anytime,Only with operator permission,,option 3: Anytime,The setting of the Privacy exception list can be changed anytime.,Standards specifications,11,3,"if the handling of the failure requires updating a list of forbidden PLMNs, update the appropriate list (as specified in 3GPP TS 24.301 [23A] or 3GPP TS 24.501 [64]); and"
question 12,What does the NEF notify to the AF after determining the suitable DNAI(s)? [3GPP Release 18],AF Identifier,EAS address information,DNN,DNAI(s) or the updated DNAI information,,option 4: DNAI(s) or the updated DNAI information,"After determining the suitable DNAI(s), NEF notifies the DNAI(s) or the updated DNAI information to AF.",Standards specifications,12,4,"

2a.	If early notification via NEF is requested by the AF, the SMF notifies the NEF of the target DNAI or candidate DNAI(s) of the PDU Session or indication of EAS rediscovery and may indicate capability of supporting EAS IP replacement in 5GC by invoking Nsmf_EventExposure_Notify service operation. The SMF may provide the target AF ID if it determines that the target DNAI is not supported by the source AF as specified in TS 23.548 [74]. The SMF may consider the UE location and available DNAI list provided by AF to select the closest available DNAI(s) as candidate DNAI(s). The SMF may also provide the candidate DNAI(s) in a prioritized order."
question 14,"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]",By the CTF,By the OCF,By the CGF,By the CHF,,option 2: By the OCF,The CTF transforms each chargeable event into a charging event and forwards these charging events to the OCF in real-time.,Standards specifications,14,2,"

In event based charging, a network / user event (e.g. MM submission) corresponds to a single chargeable event. In session based charging, at least two chargeable events are needed, one each to describe the start and the end of the session, respectively. Multiple interim events are possible in order to describe changes of session characteristics (e.g. change of IP CAN bearer QoS or change of IMS session media types), or when certain limits, e.g. time or volume, are exceeded. The CTF transforms each chargeable event into a charging event and forwards these charging events to the OCF in real-time."
question 19,What is the purpose of the PSFCH channel in NR V2X sidelink? [3GPP Release 16],To transmit Uplink and Downlink V2X messages,To transmit HARQ feedback for unicast and groupcast,To transmit sidelink synchronization signals,To transmit physical layer structure information,To transmit resource allocation configurations,option 2: To transmit HARQ feedback for unicast and groupcast,The PSFCH channel in NR V2X sidelink is used to transmit sidelink HARQ feedback for unicast and groupcast services. It provides feedback on the success or failure of the whole transport block and triggers for channel state information (CSI) feedback.,Standards overview,19,2,"The NR V2X sidelink uses the following physical channels and signals:

Physical sidelink broadcast channel (PSBCH) and its de-modulation reference signal (DMRS)

Physical sidelink control channel (PSCCH) and its DMRS"
question 23,Which feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery? [3GPP Release 15],Unlicensed Spectrum Offloading System,Enhancements to LTE operation in unlicensed spectrum,Voice services over WLAN,WLAN Offloading System,,option 4: WLAN Offloading System,The feature that proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery is the WLAN Offloading System.,Standards overview,23,4,"

To extend the reach of the ProSe framework to a larger consumer population, and given that WLAN support is already available in devices, this feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery. An example of WLAN technologies is the Wi-Fi Neighbour Awareness Networking (NAN) [2] that provides a low-power consumption discovery alternative for discovery of adjacent devices."
question 29,When can there be two N3 tunnel terminations at the RAN for a PDU Session? [3GPP Release 18],When there are multiple PDU Session Ids for the PDU Session,When the QoS Flows of the PDU Session are split across the two RATs,When the PDU Session belongs to a specific Network Slice,When the Master RAN node is congested,When the Secondary RAN node is congested,option 2: When the QoS Flows of the PDU Session are split across the two RATs,"If the DL User Plane traffic of some QoS Flows of a PDU Session are directed to the Secondary RAN Node while the remaining QoS Flows are directed to the Master RAN Node, there will be two N3 tunnel terminations at the RAN for such PDU Session.",Standards specifications,29,2,"are directed to the Master (respectively Secondary) RAN Node. In this case there are, irrespective of the number of QoS Flows, two N3 tunnel terminations at the RAN for such PDU Session."
question 37,Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],eNB Configuration Transfer,Downlink RAN Configuration Transfer,Uplink RAN Configuration Transfer,MME Configuration Transfer,,option 3: Uplink RAN Configuration Transfer,The NGAP procedure used for inter-system load balancing is Uplink RAN Configuration Transfer.,Standards overview,37,3,"NGAP procedures used for inter-system load balancing are Uplink RAN Configuration Transfer and Downlink RAN Configuration Transfer.

S1AP procedures used for inter-system load balancing are eNB Configuration Transfer and MME Configuration Transfer."
question 41,What is the purpose of the Validity Period for predictions? [3GPP Release 18],To indicate the area of interest,To provide the Target of Analytics Reporting,To determine the Reporting Threshold,To define the time window,To specify the maximum number of objects,option 4: To define the time window,The Validity Period for predictions is used to define the time window for which the predictions are valid.,Standards specifications,41,4,"The predictions are provided with a Validity Period, as defined in clause 6.1.3.



6.3.4	Procedures

Figure 6.3.4-1: Network Slice load analytics provided by NWDAF"
