id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1
question 0,What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,To supply data or analytics from the MFAF to notification endpoints,To fetch data or analytics from the MFAF based on fetch instructions,,option 2: To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,The Nmfaf_3daDataManagement_Deconfigure service operation is used to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.,Standards specifications,0,2,"The Nmfaf_3daDataManagement_Deconfigure service operation is used by an NF service consumer to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.

4.2.2.3.2	Stop mapping data or analytics"
question 4,How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],It requests the core network node to remember its previous selection.,It uses information stored in the UE when it was detached.,It relies on the SIM/USIM card for information.,It performs a fresh attach procedure.,,option 2: It uses information stored in the UE when it was detached.,A supporting UE in a shared network attaches to the same core network operator it detached from by using information stored in the UE when it was detached.,Standards specifications,4,2,"This clause is related to the case when the UE attaches to a Trusted Non-3GPP Access network and host-based mobility management mechanisms are used. Dual Stack MIPv6, RFC 5555 [10] is used for supporting mobility over S2c interface. This case describes the scenario when UE adds connectivity to one or more additional PDN at any time after initial attach. Since host-based mobility mechanisms are used, the procedure is similar to the initial attach procedure."
question 11,When can the setting of the Privacy exception list be changed? [3GPP Release 17],Never,Only during emergency services,Anytime,Only with operator permission,,option 3: Anytime,The setting of the Privacy exception list can be changed anytime.,Standards specifications,11,3,"3GPP

3GPP TR 21.917 V17.0.1 (2023-01)
Release 17

Annex A:
Change history"
question 12,What does the NEF notify to the AF after determining the suitable DNAI(s)? [3GPP Release 18],AF Identifier,EAS address information,DNN,DNAI(s) or the updated DNAI information,,option 4: DNAI(s) or the updated DNAI information,"After determining the suitable DNAI(s), NEF notifies the DNAI(s) or the updated DNAI information to AF.",Standards specifications,12,4,"2a.	If early notification via NEF is requested by the AF, the SMF notifies the NEF of the target DNAI or candidate DNAI(s) of the PDU Session or indication of EAS rediscovery and may indicate capability of supporting EAS IP replacement in 5GC by invoking Nsmf_EventExposure_Notify service operation. The SMF may provide the target AF ID if it determines that the target DNAI is not supported by the source AF as specified in TS 23.548 [74]. The SMF may consider the UE location and available DNAI list provided by AF to select the closest available DNAI(s) as candidate DNAI(s). The SMF may also provide the candidate DNAI(s) in a prioritized order.

NOTE 2:	For the reporting of candidate DNAIs from SMF/NEF to AF, only early notification is used."
question 14,"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]",By the CTF,By the OCF,By the CGF,By the CHF,,option 2: By the OCF,The CTF transforms each chargeable event into a charging event and forwards these charging events to the OCF in real-time.,Standards specifications,14,2,"In event based charging, a network / user event (e.g. MM submission) corresponds to a single chargeable event. In session based charging, at least two chargeable events are needed, one each to describe the start and the end of the session, respectively. Multiple interim events are possible in order to describe changes to session characteristics (generally termed ""change of charging condition"", e.g. tariff time switch, change of PDP context QoS or change of IMS session media types), or when certain limits, e.g. time or volume, are exceeded. The CTF transforms each chargeable event into a charging event and forwards these charging events to the CDF in real-time."
question 19,What is the purpose of the PSFCH channel in NR V2X sidelink? [3GPP Release 16],To transmit Uplink and Downlink V2X messages,To transmit HARQ feedback for unicast and groupcast,To transmit sidelink synchronization signals,To transmit physical layer structure information,To transmit resource allocation configurations,option 2: To transmit HARQ feedback for unicast and groupcast,The PSFCH channel in NR V2X sidelink is used to transmit sidelink HARQ feedback for unicast and groupcast services. It provides feedback on the success or failure of the whole transport block and triggers for channel state information (CSI) feedback.,Standards overview,19,2,"This section provides a summary of the key functionalities of NR sidelink.

Physical layer structure

Sidelink bandwidth part (BWP) is defined to support the flexible numerologies in operating on various spectrum band such as the intelligent transport system (ITS) dedicated band and the licensed band of frequency range 1 (FR1) and FR2. For sidelink synchronization, GNSS, gNB/eNB and the NR sidelink UE can be used as a synchronization reference source of a UE.

The NR V2X sidelink uses the following physical channels and signals:

Physical sidelink broadcast channel (PSBCH) and its de-modulation reference signal (DMRS)

Physical sidelink control channel (PSCCH) and its DMRS

Physical sidelink shared channel (PSSCH) and its DMRS

Physical sidelink feedback channel (PSFCH)

Sidelink primary and secondary synchronization signals (S-PSS and S-SSS)

Phase-tracking reference signal (PT-RS) in FR2

Channel state information reference signal (CSI-RS)"
question 23,Which feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery? [3GPP Release 15],Unlicensed Spectrum Offloading System,Enhancements to LTE operation in unlicensed spectrum,Voice services over WLAN,WLAN Offloading System,,option 4: WLAN Offloading System,The feature that proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery is the WLAN Offloading System.,Standards overview,23,4,"Summary based on the input provided by Intel in SP-180227.

3GPP has defined the Proximity Services (ProSe) framework in TS 23.303 [1]. While the overall ProSe framework is largely independent from the actual technology used on the direct UE-to-UE interface (i.e. on PC5), up to and including Rel-14 the ProSe Direct Discovery could only be performed using PC5 interface based on the E-UTRA technology.

To extend the reach of the ProSe framework to a larger consumer population, and given that WLAN support is already available in devices, this feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery. An example of WLAN technologies is the Wi-Fi Neighbour Awareness Networking (NAN) [2] that provides a low-power consumption discovery alternative for discovery of adjacent devices.

Stage 2 work (TS 23.303 [1]) focused on the following:

Clarification of scope, PC5 definition and ProSe Direct Discovery definition to include WLAN-based PC5."
question 29,When can there be two N3 tunnel terminations at the RAN for a PDU Session? [3GPP Release 18],When there are multiple PDU Session Ids for the PDU Session,When the QoS Flows of the PDU Session are split across the two RATs,When the PDU Session belongs to a specific Network Slice,When the Master RAN node is congested,When the Secondary RAN node is congested,option 2: When the QoS Flows of the PDU Session are split across the two RATs,"If the DL User Plane traffic of some QoS Flows of a PDU Session are directed to the Secondary RAN Node while the remaining QoS Flows are directed to the Master RAN Node, there will be two N3 tunnel terminations at the RAN for such PDU Session.",Standards specifications,29,2,"Activation or Deactivation of the User Plane connection of an existing PDU session, i.e. establishment or release of the N3 tunnel between the AN and serving CN (see clause 5.6.8 of 3GPP TS 23.501 [2], clauses 4.2.2.2, 4.2.3, 4.2.6, 4.2.10 and 4.9.1.3.3 of 3GPP TS 23.502 [3], clauses 7.2.2.1, 7.2.2.2, 7.2.5.2 and 7.2.5.3 of 3GPP TS 23.316 [36]) and clause 7.2.5.2 of 3GPP TS 23.247 [44];

Xn and N2 Handover procedures (see clauses 4.9.1, 4.23.7 and 4.23.11 of 3GPP TS 23.502 [3]);

Handover between 3GPP and untrusted non-3GPP access procedures (see clause 4.9.2 of 3GPP TS 23.502 [3]);

Inter-AMF change due to AMF planned maintenance or AMF failure (see clause 5.21.2 of 3GPP TS 23.501 [2]), or inter-AMF mobility in CM-IDLE mode (see clauses 4.2.2.2 and 4.23.3 of 3GPP TS 23.502 [3]);

RAN Initiated QoS Flow Mobility (see clause 4.14.1 of 3GPP TS 23.502 [3] and clause 8.2.5 of 3GPP TS 38.413 [9]);"
question 37,Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],eNB Configuration Transfer,Downlink RAN Configuration Transfer,Uplink RAN Configuration Transfer,MME Configuration Transfer,,option 3: Uplink RAN Configuration Transfer,The NGAP procedure used for inter-system load balancing is Uplink RAN Configuration Transfer.,Standards overview,37,3,"The following load related information should be supported:

Cell Capacity Class value (UL/DL relative capacity indicator);

Capacity value (per cell: UL/DL available capacity);

RRC connections (number of RRC connections, and available RRC Connection Capacity);

Number of active UEs.

PRB usage (per cell: UL/DL)

NGAP procedures used for inter-system load balancing are Uplink RAN Configuration Transfer and Downlink RAN Configuration Transfer.

S1AP procedures used for inter-system load balancing are eNB Configuration Transfer and MME Configuration Transfer.

2-step RACH optimization

2-step RACH optimization is supported by UE reported 2-step RACH related information made available at the NG RAN node and by PRACH parameters exchange between NG RAN nodes.

PCI selection

For aggregated architecture and centralized PCI assignment in gNB, the OAM assigns a single PCI for each NR cell in the gNB, and the gNB selects this value as the PCI of the NR cell."
question 41,What is the purpose of the Validity Period for predictions? [3GPP Release 18],To indicate the area of interest,To provide the Target of Analytics Reporting,To determine the Reporting Threshold,To define the time window,To specify the maximum number of objects,option 4: To define the time window,The Validity Period for predictions is used to define the time window for which the predictions are valid.,Standards specifications,41,4,"a trigger payload, to provide information to the application on the UE to e.g. trigger application related actions,

a validity period.

NOTE 1:	The 3GPP Network will attempt to deliver the trigger message to the UE until the validity period expires.

The 3GPP Core Network shall support the 3rd party service provider to recall or replace a trigger message that it has previously submitted.

NOTE 2: 	The goal of device triggering is that the UE takes action based on the content of the trigger payload. This response can involve initiation of communication with an MTC Server of the 3rd party service provider. The UE can initiate communication immediately or later within the validity period.

Support of 3rd party interaction for 3GPP resource management for background data transfer:

The 3GPP Core Network shall support a 3rd party service provider request for background data transfer for a set of UEs that are served by the 3rd party service provider, indicating:

the desired time window for the data transfer,"
question 42,What is the purpose of the MCImp-MC_ARCH work item? [3GPP Release 14],To specify a common functional architecture for MCVideo,To specify a common functional architecture for MCData,To specify a common functional architecture for all mission critical services,To specify a common functional architecture for MCPTT only,,option 3: To specify a common functional architecture for all mission critical services,The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services.,Standards overview,42,3,"The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services to support on-network and off-network operations. This common functional architecture includes the common services core functions and certain generic mechanisms (e.g. affiliation) for MCPTT, MCVideo and MCData services to be uniformly developed. This work item enables the re-use of the common services by other mission critical services not limited only to MCPTT.

The common functional architecture to support mission critical services can be used for public safety applications and also for general commercial applications e.g. utility companies and railways.

The MCImp-MC_ARCH work item is applicable for two or more mission critical services and consists of architectural requirements, common functional models for on network and off network, identities, deployment models, procedures and information flows and configurations corresponding to UE, user profile, group and service."
question 45,What should the UE consider if it cannot detect any cell meeting the S criterion on a frequency for sidelink operation? [3GPP Release 17],Out-of-coverage for sidelink operation on that frequency,Out-of-coverage for V2X sidelink communication on that frequency,Out-of-coverage for NR sidelink communication on that frequency,In-coverage for NR sidelink communication on that frequency,In-coverage for sidelink operation on that frequency,option 1: Out-of-coverage for sidelink operation on that frequency,"If the UE cannot detect any cell on a frequency meeting the S criterion, it shall consider itself to be out-of-coverage for sidelink operation on that frequency.",Standards specifications,45,1,"1>	if the UE's serving cell (RRC_IDLE or RRC_CONNECTED) fulfils the conditions to support NR sidelink communication/discovery/positioning in limited service state as specified in TS 23.287 [55]; and if either the serving cell is on the frequency used for NR sidelink communication/discovery/positioning operation or the UE is out of coverage on the frequency used for NR sidelink communication/discovery/positioning operation as defined in TS 38.304 [20] and TS 36.304 [27]; or

1>	if the UE has no serving cell (RRC_IDLE).

5.8.3	Sidelink UE information for NR sidelink communication/discovery/positioning

5.8.3.1	General

Figure 5.8.3.1-1: Sidelink UE information for NR sidelink communication/discovery

The purpose of this procedure is to inform the network that the UE:

is interested or no longer interested to receive or transmit NR sidelink communication/discovery/positioning,

is requesting assignment or release of transmission resource for NR sidelink communication/discovery/positioning,"
question 46,What is the purpose of the Member UE selection assistance functionality hosted by NEF? [3GPP Release 18],To provide filtering criteria for AF's inputs,To collect corresponding data from relevant 5GC NFs,To select member UEs for AF's application operations,To provide QoS for the updated list of UEs,To assist the AI/ML application server in scheduling UEs,option 3: To select member UEs for AF's application operations,The Member UE selection assistance functionality hosted by NEF is used to assist the AF in selecting member UEs that can be used in application operations such as AI/ML based applications.,Standards specifications,46,3,"Based on application logic, it is the application decision whether to request assistance from 5GC, e.g. for the purpose of selection of Member UEs that participate in certain AI/ML operation.

In this Release, 5GS assistance to AI/ML operations in the application layer is conducted within a single slice.

5.46.2	Member UE selection assistance functionality for application operation

5G System may support Member UE selection assistance functionality to assist the AF to select member UE(s) that can be used in application operations such as AI/ML based applications (e.g. Federated Learning) as specified in clause 5.46.1 according to the AF's inputs.

The Member UE selection assistance functionality shall be hosted by NEF, and the features of the Member UE selection assistance functionality hosted by the NEF include (see clause 4.15.13 of TS 23.502 [3] for details of Member UE selection procedures):"
question 49,When does the AMF enable or disable the 5G access stratum time distribution for a UE? [3GPP Release 18],When UE is in CM-REJECTED state,When UE is in CM-IDLE state,When UE is in CM-REGISTERED state,When UE is in CM-DISCONNECTED state,When UE is in CM-CONNECTED state,option 5: When UE is in CM-CONNECTED state,"If the AMF receives start and stop times, it sends a message to the NG-RAN to enable or disable the 5G access stratum time distribution according to the expiry of start and stop times when the UE is in CM-CONNECTED state.",Standards specifications,49,5,"As part of this procedure, the AMF, if supported, stores the 5G access stratum time distribution indication (enable, disable), the Uu time synchronization error budget, the clock quality detail level and the clock quality acceptance criteria, if available, in the UE context in the AMF and sends the 5G access stratum time distribution indication (enable, disable), the Uu time synchronization error budget, the clock quality detail level and the clock quality acceptance criteria, when they are available, to NG-RAN (during mobility registration, AM policy modification, Service Request, N2 Handover and Xn handover) as specified in 3GPP TS 38.413 [62]. The NG-RAN node, if supported, stores the information in the UE Context. Based on this information, the NG-RAN node provides the 5GS access stratum time to the UE according to the Uu time synchronization error budget as provided by the TSCTSF (if supported by UE and NG-RAN) and timing synchronization status reports to the UE."
