id,question,option 1,option 2,option 3,option 4,option 5,answer,explanation,category,Question_ID,Answer_ID,context_1,context_2,context_3,context_4,context_5
question 0,What is the purpose of the Nmfaf_3daDataManagement_Deconfigure service operation? [3GPP Release 18],To configure the MFAF to map data or analytics received by the MFAF to out-bound notification endpoints,To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,To supply data or analytics from the MFAF to notification endpoints,To fetch data or analytics from the MFAF based on fetch instructions,,option 2: To configure the MFAF to stop mapping data or analytics received by the MFAF to out-bound notification endpoints,The Nmfaf_3daDataManagement_Deconfigure service operation is used to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.,Standards specifications,0,2,"

The Nmfaf_3daDataManagement_Deconfigure service operation is used by an NF service consumer to stop mapping data or analytics received by the MFAF to one or more out-bound notification endpoints.","

19d.	When the DCCF determines that an NF service consumer mapping has to be removed from MFAF, the DCCF invokes the Nmfaf_3daDataManagement_Deconfigure service operation by sending an HTTP DELETE request message to the MFAF as described in clause 4.2.2.3 of 3GPP TS 29.576 [17].","4.2.2.3	Nmfaf_3daDataManagement_Deconfigure service operation

4.2.2.3.1	General","4.2.2.3	Nmfaf_3daDataManagement_Deconfigure service operation	14

4.2.2.3.1	General	14","9.2.3	Nmfaf_3daDataManagement_Deconfigure service operation

Service operation name: Nmfaf_3daDataManagement_Deconfigure"
question 4,How does a supporting UE attach to the same core network operator from which it detached in a shared network? [3GPP Release 17],It requests the core network node to remember its previous selection.,It uses information stored in the UE when it was detached.,It relies on the SIM/USIM card for information.,It performs a fresh attach procedure.,,option 2: It uses information stored in the UE when it was detached.,A supporting UE in a shared network attaches to the same core network operator it detached from by using information stored in the UE when it was detached.,Standards specifications,4,2,5.3.3.4	Support of a UE connected over both 3GPP and Non-3GPP access,4.1.2.10.3	UE attached to EPC via non-3GPP accesses with GTP on S2b interface,The UE is connected to 3GPP network. The current applications are supported over the 3GPP access network.,"5.3.3.4	Support of a UE connected over both 3GPP and Non-3GPP access	103

5.3.4	UE Mobility	104",4.1.2.10.3	UE attached to EPC via non-3GPP accesses with GTP on S2b interface	63
question 11,When can the setting of the Privacy exception list be changed? [3GPP Release 17],Never,Only during emergency services,Anytime,Only with operator permission,,option 3: Anytime,The setting of the Privacy exception list can be changed anytime.,Standards specifications,11,3,"

The Privacy header is described in 3GPP TS 24.229 [2]. The present document refers for the History-Info header to IETF RFC 7044 [3], for the Privacy header and P-Asserted-Identity to IETF RFC 3325 [8], for GRUU to IETF RFC 5627 [20] and for the cause-param to IETF RFC 4458 [14].",2)	a privacy timer value as specified in 3GPP TS 24.555 [17];,2)	a privacy timer value as specified in 3GPP TS 24.588 [7] clause 5.3;,"privacy exception list that is applicable only over the S6d interface;

MO-LR list.

AVP format",Table 6.1.2.5-2: Policy Control Request Triggers relevant for AMF and Non 3GPP access type
question 12,What does the NEF notify to the AF after determining the suitable DNAI(s)? [3GPP Release 18],AF Identifier,EAS address information,DNN,DNAI(s) or the updated DNAI information,,option 4: DNAI(s) or the updated DNAI information,"After determining the suitable DNAI(s), NEF notifies the DNAI(s) or the updated DNAI information to AF.",Standards specifications,12,4,"

2a.	If early notification via NEF is requested by the AF, the SMF notifies the NEF of the target DNAI or candidate DNAI(s) of the PDU Session or indication of EAS rediscovery and may indicate capability of supporting EAS IP replacement in 5GC by invoking Nsmf_EventExposure_Notify service operation. The SMF may provide the target AF ID if it determines that the target DNAI is not supported by the source AF as specified in TS 23.548 [74]. The SMF may consider the UE location and available DNAI list provided by AF to select the closest available DNAI(s) as candidate DNAI(s). The SMF may also provide the candidate DNAI(s) in a prioritized order.","4a.	If late notification via NEF is requested by the AF, the SMF notifies the NEF of the target DNAI of the PDU Session or indication of EAS rediscovery and may indicate capability of supporting EAS IP replacement in 5GC by invoking Nsmf_EventExposure_Notify service operation. The SMF may provide the target AF ID if it determines that the target DNAI is not supported by the source AF.","

13-14.	When receiving the AF acknowledgement from the AF, to forward it to the SMF, the NEF invokes Nsmf_EventExposure_AppRelocationInfo service operation by sending an HTTP POST request to the callback URI ""{ackUri}"", and the SMF sends a ""204 No Content"" response to the NEF. If the NEF receives the indication that buffering of uplink traffic to the target DNAI is needed and the NEF determines that the SMF supports the ""ULBuffering"" feature as defined in 3GPP TS 29.508 [8], the NEF provides the indication that buffering of uplink traffic to the target DNAI is needed to the SMF.","

4e-4h.	When receiving the notification with the URI for AF acknowledgement, the AF acknowledges the notification to the SMF identified by the notification URI via the NEF as defined in 3GPP TS 29.522 [24]. ","

11-12.	When receiving the notification with the URI for AF acknowledgement from the NEF, the AF invokes Nnef_TrafficInfluence_AppRelocationInfo service operation by sending an HTTP POST request to the callback URI ""{afAckUri}"" to acknowledge the notification, and the NEF sends a ""204 No Content"" response to the AF. If the ""ULBuffering"" feature is supported, the AF may provide an indication that buffering of uplink traffic to the target DNAI is needed to the NEF."
question 14,"In online charging, how are chargeable events transformed into charging events? [3GPP Release 18]",By the CTF,By the OCF,By the CGF,By the CHF,,option 2: By the OCF,The CTF transforms each chargeable event into a charging event and forwards these charging events to the OCF in real-time.,Standards specifications,14,2,"

ASs may support a multitude of services which are not specified in 3GPP standards. Therefore it is not possible to standardise charging flows and procedures for those services. However, for all such services, the AS may apply either event charging, where Charging Data Request [event] messages are generated, or Session Charging, using Charging Data Request [start, stop and interim]. The following clauses depict one example for each of the two scenarios. The first procedure, AS acting as a redirect server, depicts the ""event"" case, while the second procedure, AS acting as a voice mail server, depicts the ""session"" case.","

An open Rf or Ga interface is not specified for MMS in the 3GPP standards, hence no charging events (Rf message flows) are specified in clause 5.2.2. 
In clause 5.2.3, CDR generation is described in relation to the chargeable event triggers specified in clause 5.1, given that there is a 1:1 relation all the way from chargeable event to CDR type as explained in the first paragraph above. However, due to the absence of a standard Ga interface for MMS, from the 3GPP specifications perspective these CDRs are only visible in CDR files crossing the Bm interface.","

The online,offline charging and converged charging can be categorised into two distinct classes, namely event based charging and session based charging. Event based charging implies that a chargeable event is defined as a single end-user-to-network transaction, e.g. the sending of a multimedia message. This chargeable event is then mapped to an appropriate charging event, resulting in a single CDR or in a single Credit-Control and resource usage authorisation procedure. In contrast, session based charging is characterised by the existence of a user session, such as a circuit call, an IP CAN bearer, an PDU session, or an IMS session. This user session is then matched by a charging session, resulting in the generation of multiple chargeable/charging events and the creation of one or more CDRs in offline charging/converged charging or the performance of a Credit-Control session in online charging/converged charging. The following paragraphs describe the event versus session based charging in more detail for both online, offline charging. converged charging.","R6.3 - 560	Charging - The 3GPP system shall be able to generate LI charging event records.

6.4	Delivery",1)	optionally generate charging events:
question 19,What is the purpose of the PSFCH channel in NR V2X sidelink? [3GPP Release 16],To transmit Uplink and Downlink V2X messages,To transmit HARQ feedback for unicast and groupcast,To transmit sidelink synchronization signals,To transmit physical layer structure information,To transmit resource allocation configurations,option 2: To transmit HARQ feedback for unicast and groupcast,The PSFCH channel in NR V2X sidelink is used to transmit sidelink HARQ feedback for unicast and groupcast services. It provides feedback on the success or failure of the whole transport block and triggers for channel state information (CSI) feedback.,Standards overview,19,2,The NR V2X sidelink uses the following physical channels and signals:,"Physical sidelink feedback channel (PSFCH)

Sidelink primary and secondary synchronization signals (S-PSS and S-SSS)","RP-200129, “Revised WID on 5G V2X with NR sidelink”",8.4	5G V2X with NR sidelink,
question 23,Which feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery? [3GPP Release 15],Unlicensed Spectrum Offloading System,Enhancements to LTE operation in unlicensed spectrum,Voice services over WLAN,WLAN Offloading System,,option 4: WLAN Offloading System,The feature that proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery is the WLAN Offloading System.,Standards overview,23,4,"

To extend the reach of the ProSe framework to a larger consumer population, and given that WLAN support is already available in devices, this feature proposes to integrate selected WLAN direct discovery technologies as an alternative technology for ProSe Direct Discovery. An example of WLAN technologies is the Wi-Fi Neighbour Awareness Networking (NAN) [2] that provides a low-power consumption discovery alternative for discovery of adjacent devices.",,,,
question 29,When can there be two N3 tunnel terminations at the RAN for a PDU Session? [3GPP Release 18],When there are multiple PDU Session Ids for the PDU Session,When the QoS Flows of the PDU Session are split across the two RATs,When the PDU Session belongs to a specific Network Slice,When the Master RAN node is congested,When the Secondary RAN node is congested,option 2: When the QoS Flows of the PDU Session are split across the two RATs,"If the DL User Plane traffic of some QoS Flows of a PDU Session are directed to the Secondary RAN Node while the remaining QoS Flows are directed to the Master RAN Node, there will be two N3 tunnel terminations at the RAN for such PDU Session.",Standards specifications,29,2,"

are directed to the Master (respectively Secondary) RAN Node. In this case there are, irrespective of the number of QoS Flows, two N3 tunnel terminations at the RAN for such PDU Session.",NOTE 4:	The two N3 instances in Figure 4.2.8.2.2-1 and in Figure 4.2.8.2.2-3 may terminate to different UPFs when different PDU Sessions are established over 3GPP access and non-3GPP access.,"

NOTE 4	The two N3 instances in Figure 4.2.8.2.1-1 and in Figure 4.2.8.2.1-2 may terminate to different UPFs when different PDU Sessions are established over 3GPP access and non-3GPP access.","

Activation or Deactivation of the User Plane connection of an existing PDU session, i.e. establishment or release of the N3 tunnel between the AN and serving CN (see clause 5.6.8 of 3GPP TS 23.501 [2], clauses 4.2.2.2, 4.2.3, 4.2.6, 4.2.10 and 4.9.1.3.3 of 3GPP TS 23.502 [3], clauses 7.2.2.1, 7.2.2.2, 7.2.5.2 and 7.2.5.3 of 3GPP TS 23.316 [36]) and clause 7.2.5.2 of 3GPP TS 23.247 [44];",PDU Session release (see clause 4.3.4 of TS 3GPP 23.502 [3])
question 37,Which NGAP procedure is used for inter-system load balancing? [3GPP Release 17],eNB Configuration Transfer,Downlink RAN Configuration Transfer,Uplink RAN Configuration Transfer,MME Configuration Transfer,,option 3: Uplink RAN Configuration Transfer,The NGAP procedure used for inter-system load balancing is Uplink RAN Configuration Transfer.,Standards overview,37,3,"

NGAP procedures used for inter-system load balancing are Uplink RAN Configuration Transfer and Downlink RAN Configuration Transfer.",,,,
question 41,What is the purpose of the Validity Period for predictions? [3GPP Release 18],To indicate the area of interest,To provide the Target of Analytics Reporting,To determine the Reporting Threshold,To define the time window,To specify the maximum number of objects,option 4: To define the time window,The Validity Period for predictions is used to define the time window for which the predictions are valid.,Standards specifications,41,4,"Contents:

The validity timer is encoded as shown in figure 5.3.1.1 and table 5.3.1.1 of 3GPP TS 24.588 [113].

Indicator bits","Contents:

The validity timer is encoded as shown in figure 5.4.1.1 and table 5.4.1.1 of 3GPP TS 24.588 [113].

Indicator bits","NOTE 2:	The RFSP validity time indicated by the PCF when the feature ""RFSPValidityTime"" is supported is used by the MME to allow the UE to stay in EPS during the period of time indicated by the ""rfspValTime"" attribute as specified in 3GPP TS 29.507 [7] and avoid the potential ping-pong issue between 5GS and EPS (i.e., 5GS keeps sending the UE to EPS based on authorized RFSP Index from PCF, and the EPS keeps sending the UE back to 5GS immediately based on the subscribed RFSP Index). If due to UE mobility the AMF receives from the MME a validity time associated to the RFSP in use, the AMF shall ignore validity time received from the MME.",NOTE 1:	The 3GPP Network will attempt to deliver the trigger message to the UE until the validity period expires.,"

This process is likely to be iterative and there will be some trade-off in terms of time. It is not a goal to be absolutely complete in the threats assessment. What ultimately matters in the threat analysis phase is that 3GPP determines that the achieved level of details is good enough to be able to easily derive testable security requirements to cover the risks in a reasonable amount of time."
question 42,What is the purpose of the MCImp-MC_ARCH work item? [3GPP Release 14],To specify a common functional architecture for MCVideo,To specify a common functional architecture for MCData,To specify a common functional architecture for all mission critical services,To specify a common functional architecture for MCPTT only,,option 3: To specify a common functional architecture for all mission critical services,The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services.,Standards overview,42,3,"

The main objective of the MCImp-MC_ARCH work item is to specify a common functional architecture for all mission critical services to support on-network and off-network operations. This common functional architecture includes the common services core functions and certain generic mechanisms (e.g. affiliation) for MCPTT, MCVideo and MCData services to be uniformly developed. This work item enables the re-use of the common services by other mission critical services not limited only to MCPTT.",,,,
